Player,Club,Year,Season,Minutes Played,Shutouts,Win Percentage (%),Save Percentage (%),Year = 1,Year = 2,Year = 3,Year = 4,Year = 5,"Interaction(Shutouts,Win Percentage (%))"
Luis Robles,MIA,1,1,3060,9,52.9%,65.6%,1,0,0,0,0,4.764705882
David Ousted,VAN,1,1,3060,13,47.1%,72.3%,1,0,0,0,0,6.117647059
David Bingham,LA,1,1,3060,12,38.2%,71.4%,1,0,0,0,0,4.588235294
Steve Clark,POR,1,1,3060,6,44.1%,67.9%,1,0,0,0,0,2.647058824
Adam Kwarasey,POR,1,1,2970,13,45.5%,66.7%,1,0,0,0,0,5.909090909
Josh Saunders,NYC,1,1,2970,4,30.3%,65.4%,1,0,0,0,0,1.212121212
Stefan Frei,SEA,1,1,2744,10,46.7%,77.1%,1,0,0,0,0,4.666666667
Bobby Shuttleworth,CHI,1,1,2790,8,41.9%,62.4%,1,0,0,0,0,3.35483871
Tyler Deric,HOU,1,1,2790,7,32.3%,64.0%,1,0,0,0,0,2.258064516
Evan Bush,MTL,1,1,2790,9,48.4%,69.7%,1,0,0,0,0,4.35483871
Clint Irwin,COL,1,1,2790,8,25.8%,70.4%,1,0,0,0,0,2.064516129
Bill Hamid,DC,1,1,2250,8,44.0%,75.9%,1,0,0,0,0,3.52
Nick Rimando,RSL,1,1,2160,8,33.3%,71.0%,1,0,0,0,0,2.666666667
Tally Hall,ORL,1,1,2064,5,43.5%,64.0%,1,0,0,0,0,2.173913043
Tim Melia,SKC,1,1,2070,8,47.8%,72.6%,1,0,0,0,0,3.826086957
Sean Johnson,NYC,1,1,1890,4,23.8%,65.6%,1,0,0,0,0,0.952380952
Donovan Ricketts,LA ,1,1,1890,3,33.3%,63.0%,1,0,0,0,0,1
Chris Konopka,TOR,1,1,1890,4,52.4%,67.4%,1,0,0,0,0,2.095238095
Dan Kennedy,DAL,1,1,1440,5,43.8%,62.5%,1,0,0,0,0,2.1875
Jaime Penedo,LA ,1,1,1440,5,37.5%,72.5%,1,0,0,0,0,1.875
Joe Bendik,PHI,1,1,1170,1,30.8%,62.5%,1,0,0,0,0,0.307692308
Jon Busch,CHI,1,1,1080,1,25.0%,61.4%,1,0,0,0,0,0.25
Brian Sylvestre,PHI,1,1,1080,5,41.7%,60.0%,1,0,0,0,0,2.083333333
John McCarthy,MIA,1,1,990,2,27.3%,53.7%,1,0,0,0,0,0.545454545
Jesse Gonzalez,DAL,1,1,990,5,63.6%,78.7%,1,0,0,0,0,3.181818182
Jeff Attinella,POR,1,1,900,1,30.0%,62.5%,1,0,0,0,0,0.3
Andrew Dykstra,DC ,1,1,778,0,37.5%,70.2%,1,0,0,0,0,0
Luis Marin,KC ,1,1,720,3,25.0%,63.3%,1,0,0,0,0,0.75
Chris Seitz,DC,1,1,630,3,57.1%,63.0%,1,0,0,0,0,1.714285714
Brian Rowe ,ORL,1,1,630,2,42.9%,59.1%,1,0,0,0,0,0.857142857
Andre Blake,PHI,1,1,540,2,33.3%,76.5%,1,0,0,0,0,0.666666667
Rais MBolhi,ALG,1,1,450,1,0.0%,50.0%,1,0,0,0,0,0
David Bingham,LA,2,1,3015,8,23.5%,72.6%,0,1,0,0,0,1.882352941
Joe Bendik,PHI,2,1,3060,5,26.5%,64.0%,0,1,0,0,0,1.323529412
Luis Robles,MIA,2,1,3060,11,47.1%,69.9%,0,1,0,0,0,5.176470588
Evan Bush,MTL,2,1,2931,6,33.3%,65.2%,0,1,0,0,0,2
David Ousted,VAN,2,1,2970,6,30.3%,66.3%,0,1,0,0,0,1.818181818
Josh Saunders,NYC,2,1,2970,8,42.4%,62.0%,0,1,0,0,0,3.393939394
